Student ID - Student ID,Student ID - COURSE CODE,Which year level are you currently completing?,"Are you enrolled in the standard 3-year Bachelor of Science (Agricultural Science) or a 4-year combined degree (e.g., Ag/Commerce)?","Before starting this program, did you have prior professional experience (e.g., TAFE certificate, industry work) in agriculture?",I chose UWA's Agricultural Sciences program primarily due to its reputation for in Agricultural Sciences/AgTech.,Did you primarily reside in a rural or regional area of Western Australia (outside Perth Metro) during high school?,Did you grow up on a working farm or pastoral property?,Where did you complete the majority of your secondary schooling (Years 10-12)?,I am satisfied with the current minimum duration of the degree (typically 3 years for the BSc).,"If offered, I would seriously consider extending my degree by one semester for a guaranteed, supervised farm residency/stay.",My primary motivation for studying agriculture is to contribute to the private sector/farming industry.,My primary motivation for studying agriculture is to pursue a career in agricultural research or R&D.,"I found the foundational mathematics and science bridging units (e.g., CHEM1003, MATH1720, SCIE1500) necessary for my academic success in later units.",I am involved with the Student Network of Agricultural Graduates (SNAGS) events or committee.,"Face-to-face lectures effectively convey complex agricultural concepts (e.g., soil analysis, genetics) and enhance long-term retention.","Assessments in core units (e.g., AGRI1001, AGRI2201) are clear, fair, and clearly measure the stated unit learning outcomes.","Faculty members demonstrate deep, current expertise in their specific fields and communicate it effectively.","Feedback received on assignments is detailed, constructive, and directly contributes to improving my future technical and analytical performance.",Guest lectures from industry professionals significantly enhance my understanding of real-world application and current trends.,I feel adequately supported and encouraged by faculty to engage in intellectual curiosity beyond the scope of unit requirements.,"The curriculum effectively integrates the use of AgTech, including data analysis, remote sensing (GIS), and programming concepts, as promised by the degree focus.","Unit content is highly relevant to current production systems, challenges, and policy environments specific to Western Australian agriculture.","The program thoroughly prepares me to assess the economic, environmental, and ethical trade-offs of modern farming systems and technology adoption.","Units focusing on farm economics, finance, and supply chain management provide immediately useful skills for agribusiness assessment.",The units in the first year are useful or relevant.,"The units provide sufficient technical depth in specialized agricultural domains (e.g., advanced genetics, soil chemistry) to meet my long-term career goals.","The pacing and workload across units allows me sufficient time to achieve deep, reflective understanding of the complex subject matter.","Online learning components (LMS, blended learning tools) are user-friendly, highly accessible, and effectively supplement in-person teaching.","The range of available elective units allows me to adequately specialize or diversify my skills in my preferred area of agriculture (e.g., livestock, cropping, economics).",Library and database resources related to advanced agricultural science and AgTech research meet my specific academic needs.,"The program units flow logically from foundational science (Y1) to specialized application (Y3), demonstrating strong curricular coherence.","UWA career services and faculty guidance actively assist in linking students to agriculture-specific jobs, internships, or professional mentorships.",Student Association (SNAGS) >> Industry Connections,Student Association (SNAGS) >> Cohort feeling,Student Association (SNAGS) >> Social Connection,Student Association (SNAGS) >> I am hesitant to participate,I believe more units are needed in:,Would you consider studying abroad?,Which countries would you consider to study abroad?,"As a whole, agricultural science units are too broad (i.e. not in-depth enough)",Additional comments:,What is your expected income as a graduate ($),Student ID,Submission ID
,,2nd Year,Standard 3-year BSc,No,4,No,Yes,Private Day School,5,5,5,2,3,Yes,4,5,4,4,5,5,4,5,5,5,4,4,5,5,4,4,5,5,Neutral,Neutral,Neutral,Strongly Disagree,Livestock Management,Yes,"Canada
USA",3,,"70,000",24414358,6363147108191315004
,,1st Year,Standard 3-year BSc,No,4,No,Yes,Private Boarding School,5,3,5,3,1,Yes,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Livestock Management,Yes,"Canada
New Zeland
USA",3,,"120,000 +",24788475,6363248680018431112
,,1st Year,Standard 3-year BSc,No,5,No,No,Private Day School,5,5,3,3,3,No,5,5,4,4,5,5,3,5,4,3,5,3,2,4,3,2,4,3,Agree,Neutral,Agree,Strongly Agree,"Aquaculture, marine systems, conservation and restoration",Yes,"Canada
New Zeland
Netherlands
Israel",2,,"70,000",22932202,6363537675546805304
,,3rd Year,Standard 3-year BSc,Yes,4,Yes,No,Private Boarding School,5,5,3,4,3,Yes,4,5,4,4,4,3,4,3,2,4,1,3,4,4,1,2,3,1,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,"Livestock Management
Agricultural Engineering
Weed Management
Horticultural Sciences
Precision Agriculture",Yes,"Canada
France
New Zeland
Netherlands",3,"On a whole I think there needs to be more work placement and application of agriculture. For people with little to know on farm experience it is very difficult to gain connections. I think a compulsory unit on work placement for a year or semester would be highly beneficial. If the degree was an extra year but offered placement for a year I think it would be highly beneficial and enticing to students, Marcus Oldham in VIC have a model like this, and it is a very competitive program to get into with students from across the country applying. Even for international students, agriculture in WA is quite foreign from the agriculture in their own countries and some experience on farm/in industry would be ideal fro them.","80,000",23784737,6364042842379794693
,,1st Year,4-year combined degree,No,5,No,No,Public Day School,4,5,4,3,3,Yes,4,4,5,2,4,4,3,4,4,3,3,3,4,4,2,3,3,3,Agree,Agree,Strongly Agree,Disagree,"Livestock Management
Horticultural Sciences
Precision Agriculture",Yes,"Canada
USA
Ireland, South America, Scandinavia",4,"Overall, I have thoroughly enjoyed my first year, particularly because of joining SNAGS and attending events ran by them, alongside meeting new people.","90,000",24794599,6364861897809631548
,,3rd Year,Standard 3-year BSc,No,4,No,No,Other,3,4,4,3,5,Yes,5,4,5,3,5,4,3,5,3,3,4,5,1,3,4,4,4,4,Strongly Agree,Neutral,Agree,Disagree,"Soil Sciences
Horticultural Sciences
Precision Agriculture
Plant Breeding",Yes,"Canada
New Zeland
Mexico",3,Overall I'm satisfied with my degree. Unit to unit quality obviously varies but some units were much more coordinated and more engaging than others. I think more of a focus for at least part of the degree should be on horticulture as well.,"70,000",23433946,6367710041917806467
,,3rd Year,Standard 3-year BSc,Yes,3,Yes,No,Private Day School,4,5,5,2,2,No,5,5,5,3,5,3,3,3,2,4,2,3,4,3,2,3,4,3,Agree,Agree,Agree,Disagree,"Livestock Management
Agricultural Engineering
Soil Sciences
Weed Management
Precision Agriculture",Yes,"Canada
New Zeland
USA",4,,"70,000",23428112,6368327937336740068
,,2nd Year,4-year combined degree,Yes,2,Yes,Yes,Private Day School,4,2,4,2,3,No,4,5,4,4,4,4,4,3,3,4,4,3,4,3,4,5,5,4,,,,,Livestock Management,Yes,"Canada
USA",3,,"100,000",24230867,6368350185333495569
,,3rd Year,4-year combined degree,Yes,4,Yes,Yes,Public Day School,4,2,4,2,3,Yes,2,3,4,3,4,4,4,4,2,3,2,3,3,2,2,4,4,3,Agree,Strongly Agree,Strongly Agree,Disagree,"Weed Management
Horticultural Sciences
Precision Agriculture
Plant Breeding",Yes,"Canada
USA",4,,"80,000",23421673,6368355153228318332
,,4th Year or more,4-year combined degree,Yes,3,No,Yes,Private Boarding School,4,3,5,2,3,Yes,3,4,4,3,3,3,4,3,3,3,3,3,3,2,3,3,3,2,Agree,Agree,Strongly Agree,Disagree,,Yes,"Canada
New Zeland",3,,,23529714,6368357509902931889
,,2nd Year,4-year combined degree,No,5,No,Yes,Private Boarding School,5,3,4,2,4,Yes,4,3,5,3,3,5,3,5,3,4,4,3,3,5,4,3,4,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Livestock Management
Horticultural Sciences",No,"Canada
France
New Zeland",3,,"80,000",24274881,6368430571212907405
,,1st Year,Standard 3-year BSc,No,3,No,Yes,International,4,3,4,2,3,Yes,3,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,"Agricultural Engineering
Horticultural Sciences",No,France,4,,"70,000",24733068,6368589151408601072
,,3rd Year,Standard 3-year BSc,Yes,3,Yes,No,Agricultural College,5,5,5,3,1,Yes,3,2,2,2,3,1,3,2,2,1,1,3,3,2,1,3,3,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agricultural Engineering
Soil Sciences
Weed Management
Precision Agriculture
Plant Breeding",Yes,"Canada
Netherlands",2,"Ag degree as a whole at UWA doesn't really prepare you for the real world and it's a known fact in the industry that students at curtin come out better equipped than students at UWA. I think more practical case study style assignments would work better. Ag Business units are not specific enough to the industry; they cover the theory behind but no link back to anything management related. I think the support from the Science student office is also pretty poor for Ag students alone, the ag students as a whole also get a fair bit of backlash from the professors, guild and university.","100,000",23250843,6374450978908894896
,,3rd Year,4-year combined degree,Yes,4,Yes,Yes,Private Boarding School,4,2,5,2,1,Yes,5,4,4,3,4,3,5,5,4,3,3,5,2,5,2,5,5,3,Agree,Agree,Strongly Agree,Disagree,"Agricultural Engineering
Precision Agriculture",No,,2,,"80,000",23102391,6375170028421001279
